Image ID, Detector, Descriptor, Total Keypoints, Vehicle Keypoints, Detector Runtime, Descriptor Runtime, Matched Keypoints, Matcher Runtime
5, SIFT, BRIEF,1370,140,171.826626,0.764919,69,0.480404
6, SIFT, BRIEF,1396,137,170.668359,0.819057,74,0.497751
7, SIFT, BRIEF,1382,148,169.638352,0.846074,76,0.518713
8, SIFT, BRIEF,1463,159,172.742538,0.829737,70,0.573202
9, SIFT, BRIEF,1422,137,170.583943,0.756138,88,0.541528
,,,,,,,,
,,,,,,,,
0, SIFT, FREAK,1438,138,170.492624,43.015613,0,0
1, SIFT, FREAK,1371,132,175.068977,44.112753,65,0.5191
2, SIFT, FREAK,1380,124,163.921428,42.661771,72,0.470919
3, SIFT, FREAK,1335,137,173.894053,42.909054,64,0.482409
4, SIFT, FREAK,1305,134,176.169457,44.385497,66,0.52751
5, SIFT, FREAK,1370,140,168.680079,44.203157,59,0.530929
6, SIFT, FREAK,1396,137,174.690904,43.432642,59,0.526796
7, SIFT, FREAK,1382,148,171.354538,45.21396,64,0.544398
8, SIFT, FREAK,1463,159,170.096484,44.476387,65,0.62787
9, SIFT, FREAK,1422,137,167.58639,44.374704,79,0.600623
,,,,,,,,
,,,,,,,,
0, SIFT, SIFT,1438,138,171.689516,94.26692,0,0
1, SIFT, SIFT,1371,132,136.814174,98.513548,82,0.902326
2, SIFT, SIFT,1380,124,171.632845,97.879478,81,0.827926
3, SIFT, SIFT,1335,137,133.312923,91.496636,85,0.83244
4, SIFT, SIFT,1305,134,139.715853,96.681542,93,0.866746
5, SIFT, SIFT,1370,140,140.306131,96.723541,90,0.854264
6, SIFT, SIFT,1396,137,139.074601,104.582694,81,0.907344
7, SIFT, SIFT,1382,148,176.084793,100.82283,82,1.000647
8, SIFT, SIFT,1463,159,134.011558,90.713862,102,1.112147
9, SIFT, SIFT,1422,137,139.575597,94.492308,104,1.011212
