Image ID, Detector, Descriptor, Matched Keypoints, TTC LiDAR, TTC Camera
51, FAST, BRIEF, 1700, 18.883202, 24.518698
52, FAST, BRIEF, 1670, nan, nan
53, FAST, BRIEF, 1692, nan, nan
54, FAST, BRIEF, 1707, nan, nan
55, FAST, BRIEF, 1596, nan, nan
56, FAST, BRIEF, 1591, nan, nan
57, FAST, BRIEF, 1653, nan, nan
58, FAST, BRIEF, 1621, nan, nan
59, FAST, BRIEF, 1543, nan, nan
60, FAST, BRIEF, 1654, nan, nan

0, FAST, ORB, 0, 0, 0
1, FAST, ORB, 1220, 12.320080, 12.201870
2, FAST, ORB, 1234, 12.219899, 12.934828
3, FAST, ORB, 1238, 14.746746, 26.572394
4, FAST, ORB, 1188, 16.509510, 14.068845
5, FAST, ORB, 1232, 15.583940, nan
6, FAST, ORB, 1193, 12.886679, 55.978844
7, FAST, ORB, 1141, 11.981315, 12.934828
8, FAST, ORB, 1167, 13.120670, 12.186040
9, FAST, ORB, 1171, 13.020670, 12.871126
10, FAST, ORB, 1142, 11.342427, nan
11, FAST, ORB, 1160, 12.588132, nan
12, FAST, ORB, 1188, 8.848173, 12.983142
13, FAST, ORB, 1157, 9.960280, 13.562908
14, FAST, ORB, 1162, 9.342840, 11.296107
15, FAST, ORB, 1172, 8.363573, 10.713275
16, FAST, ORB, 1244, 10.278060, 12.101945
17, FAST, ORB, 1243, 9.611036, 11.951042
18, FAST, ORB, 1266, 8.397584, 109.968649
19, FAST, ORB, 1236, 8.842841, 19.794214
20, FAST, ORB, 1323, 7.507805, 13.076629
21, FAST, ORB, 1315, 6.721826, 12.278166
22, FAST, ORB, 1340, 8.498739, 10.810506
23, FAST, ORB, 1352, 8.080008, 9.625932
24, FAST, ORB, 1360, 7.329854, 9.161174
25, FAST, ORB, 1361, 6.985581, 14.366072
26, FAST, ORB, 1366, 6.964027, 13.878718
27, FAST, ORB, 1361, 6.943196, 42.404780
28, FAST, ORB, 1367, 8.386108, 13.163589
29, FAST, ORB, 1414, 6.608878, 12.218521
30, FAST, ORB, 1423, 10.335058, 16.223933
31, FAST, ORB, 1471, 10.056964, 14.165929
32, FAST, ORB, 1489, 9.158701, 16.357540
33, FAST, ORB, 1499, 6.936604, 15.967108
34, FAST, ORB, 1488, 11.275957, 16.672980
35, FAST, ORB, 1476, 8.573839, 10.593090
36, FAST, ORB, 1538, 9.188342, 12.628459
37, FAST, ORB, 1509, 6.791257, 8.783445
38, FAST, ORB, 1503, 6.367849, 15.015912
39, FAST, ORB, 1548, 6.892141, 59.904327
40, FAST, ORB, 1557, 5.925724, 7.790704
41, FAST, ORB, 1507, 5.661101, 14.583162
42, FAST, ORB, 1558, 6.190135, 10.176071
43, FAST, ORB, 1598, 6.497391, 7.583006
44, FAST, ORB, 1580, 5.778564, 9.208758
45, FAST, ORB, 1565, 7.144786, 13.295013
46, FAST, ORB, 1562, 8.603588, 10.662512
47, FAST, ORB, 1542, 8.201800, 15.214341
48, FAST, ORB, 1516, 9.639516, 24.630851
49, FAST, ORB, 1584, 12.752858, 13.379466
50, FAST, ORB, 1596, 13.017200, 23.871419
51, FAST, ORB, 1618, 18.883202, 18.863781
52, FAST, ORB, 1602, nan, nan
53, FAST, ORB, 1625, nan, nan
54, FAST, ORB, 1621, nan, nan
55, FAST, ORB, 1533, nan, nan
56, FAST, ORB, 1536, nan, nan
57, FAST, ORB, 1583, nan, nan
58, FAST, ORB, 1538, nan, nan
59, FAST, ORB, 1502, nan, nan
60, FAST, ORB, 1601, nan, nan

0, FAST, FREAK, 0, 0, 0
1, FAST, FREAK, 959, 12.320080, 51.577224
2, FAST, FREAK, 950, 12.219899, 16.138734
3, FAST, FREAK, 944, 14.746746, 13.406883
4, FAST, FREAK, 889, 16.509510, 14.031572
5, FAST, FREAK, 969, 15.583940, 99.764261
6, FAST, FREAK, 917, 12.886679, 12.329150
7, FAST, FREAK, 886, 11.981315, 12.753004
8, FAST, FREAK, 883, 13.120670, 11.546717
9, FAST, FREAK, 865, 13.020670, nan
10, FAST, FREAK, 897, 11.342427, 13.416893
11, FAST, FREAK, 930, 12.588132, 13.019157
12, FAST, FREAK, 898, 8.848173, 12.036413
13, FAST, FREAK, 923, 9.960280, 11.659949
14, FAST, FREAK, 952, 9.342840, 11.348694
15, FAST, FREAK, 930, 8.363573, 11.029640
16, FAST, FREAK, 957, 10.278060, 12.101945
17, FAST, FREAK, 1011, 9.611036, 11.067669
18, FAST, FREAK, 989, 8.397584, 11.860611
19, FAST, FREAK, 928, 8.842841, 11.322027
20, FAST, FREAK, 1033, 7.507805, 11.464095
21, FAST, FREAK, 1053, 6.721826, 10.337069
22, FAST, FREAK, 1043, 8.498739, 11.202542
23, FAST, FREAK, 1079, 8.080008, 9.140308
24, FAST, FREAK, 1035, 7.329854, 8.590169
25, FAST, FREAK, 1026, 6.985581, 10.833180
26, FAST, FREAK, 1072, 6.964027, 11.941005
27, FAST, FREAK, 1077, 6.943196, 12.424907
28, FAST, FREAK, 1089, 8.386108, 11.910610
29, FAST, FREAK, 1091, 6.608878, 11.254089
30, FAST, FREAK, 1046, 10.335058, 12.718282
31, FAST, FREAK, 1129, 10.056964, 14.165929
